Semua Laporan Iklan CPC - Shopee Indonesia
Username,moondaeofficial
Nama Toko,Moon Dae Official Store
ID Toko,797105463
Waktu Laporan Dibuat,09/02/2026 14:08
Periode,01/11/2025 - 30/11/2025

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Kata Pencarian/Penempatan,Tipe Pencocokan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
37,MOON DAE Mini Naomi Bag Tas Selempang Wanita Canvas Premium Sling Bag Handbag For Women Tas Korea [11],Berakhir,Iklan Produk,25335748401,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,26/11/2025 00:00:00,28/11/2025 10:27:37,6595,192,2.91%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,118328,0.00,0.00,0.00%,0.00%,-,-,-
38,MOON DAE Yonhi Tas Ransel Wanita Korea Waterproof Anti Air Backpack Laptop 14 Inch Kuliah Kerja MND [5],Berakhir,Iklan Produk,29342401463,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,12/11/2025 00:00:00,26/11/2025 11:10:27,5294,154,2.91%,1,1,0.65%,0.65%,50465.48,50465.48,1,1,250000,250000,50465,4.95,4.95,20.19%,20.19%,-,-,-
39,"MOON DAE Yuri 3in1 Tas Wanita Korea Stylish Kulit Premium - Shoulder Bag, Sling Bag, HandBag [9]",Berakhir,Iklan Produk,29937215342,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,12/11/2025 00:00:00,14/11/2025 10:05:23,5178,170,3.28%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,31192,0.00,0.00,0.00%,0.00%,-,-,-
40,"MOON DAE Yuri 3in1 Tas Wanita Korea Stylish Kulit Premium - Shoulder Bag, Sling Bag, HandBag [8]",Berakhir,Iklan Produk,29937215342,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,08/10/2025 00:00:00,12/11/2025 14:41:46,4657,160,3.44%,2,2,1.25%,1.25%,32876.75,32876.75,2,2,316695,316695,65754,4.82,4.82,20.76%,20.76%,-,-,-
41,MOON DAE Hallyu Shoulder Bag Tas Bahu Wanita Kulit Premium Sling Bag Handbag For Women Tas Korea [7],Berakhir,Iklan Produk,26312203577,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,29/10/2025 00:00:00,27/12/2025 08:41:49,4375,123,2.81%,1,1,0.81%,0.81%,31304.04,31304.04,1,1,120619,120619,31304,3.85,3.85,25.95%,25.95%,-,-,-
42,MOON DAE Kyuso Wallet Dompet Lipat Kartu Wanita Kulit Premium Card Holder For Women [11],Berakhir,Iklan Produk,24259595052,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,08/10/2025 00:00:00,28/11/2025 10:27:37,4184,129,3.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,27365,0.00,0.00,0.00%,0.00%,-,-,-
43,MOON DAE Asha Shoulder Bag Tas Bahu Wanita Kulit Premium Handbag For Women Tas Korea [8],Berakhir,Iklan Produk,28513560361,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,19/11/2025 00:00:00,21/11/2025 10:13:53,3661,115,3.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,35888,0.00,0.00,0.00%,0.00%,-,-,-
44,MOON DAE Yara Bag Tas Selempang Wanita Transparan Mika PVC Sling Bag For Women Tas Korea [4],Berakhir,Iklan Produk,26750627199,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,19/11/2025 00:00:00,21/11/2025 10:13:47,3489,143,4.10%,1,1,0.70%,0.70%,35683.51,35683.51,1,1,100880,100880,35684,2.83,2.83,35.37%,35.37%,-,-,-
45,MOON DAE Sinbi Bag Tas Selempang Wanita Kulit Premium Sling Bag For Women Tas Korea [11],Berakhir,Iklan Produk,25377836648,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,08/10/2025 00:00:00,09/01/2026 08:40:57,2362,77,3.26%,1,1,1.30%,1.30%,30482.42,30482.42,1,1,140300,140300,30482,4.60,4.60,21.73%,21.73%,-,-,-
46,MOON DAE Asha Shoulder Bag Tas Bahu Wanita Kulit Premium Handbag For Women Tas Korea [7],Berakhir,Iklan Produk,28513560361,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,27/08/2025 00:00:00,19/11/2025 13:09:34,2334,110,4.71%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,13684,0.00,0.00,0.00%,0.00%,-,-,-
47,MOON DAE Yoona Bag Tas Selempang Wanita Kulit Premium Sling Bag Saddle Handbag For Women Tas Korea [13],Berakhir,Iklan Produk,22619071668,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,08/10/2025 00:00:00,19/11/2025 13:09:34,570,2,0.35%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,877,0.00,0.00,0.00%,0.00%,-,-,-
48,MOON DAE Yonhi Tas Ransel Wanita Korea Waterproof Anti Air Backpack Laptop 14 Inch Kuliah Kerja MND [4],Berakhir,Iklan Produk,29342401463,-,GMV Max Auto,Semua Penempatan,Pilih Otomatis,-,29/10/2025 00:00:00,07/11/2025 11:12:59,437,14,3.20%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1344,0.00,0.00,0.00%,0.00%,-,-,-
49,MOON DAE Haru Pack Tas Ransel Laptop Wanita Multifungsi Totepack Kuliah Kerja Korea MND-HARU [4],Berakhir,Iklan Produk,28091103256,-,GMV Max Auto,Semua Penempatan,Pilih Otomatis,-,22/10/2025 00:00:00,29/10/2025 18:43:56,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-
